,CE,CJ,CN,HE,HN,HSE,JUP,NEP,SE,WJ,WN,WSE,absmag,age,all_names,altnames,base,bayer,bf,child_obj,children,ci,comp,comp_primary,con,dec,dec_degrees,dec_minutes,dec_seconds,declination,decrad,dist,distance,flags,flam,gl,hd,hip,hr,id,index,lum,mag,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magUltraviolet,magVisual,mass,metallicity,num_names,other_names,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,pmdec,pmdecrad,pmra,pmrarad,proper,ra,ra_degrees,ra_minutes,ra_seconds,radius,rarad,right_ascension,rv,spect,spectral_type,system,temp,var,var_max,var_min,vx,vy,vz,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sol11 UMi,,,,,,,,,,,,,,,,,,,,,
3086,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,,"[""'18 Delphini'"", "" 'HD 199665'"", "" 'HIP 103527'"", "" 'TYC 1107-2709-1'"", "" 'SAO 106712'"", "" 'HR 8030'"", "" 'BD+10 4425'"", "" '2MASS J20582594+1050214'"", "" 'Gaia DR2 1756741374681702784'"", "" 'Musica'""]","'18 Delphini', 'HD 199665', 'HIP 103527', 'TYC 1107-2709-1', 'SAO 106712', 'HR 8030', 'BD+10 4425', '2MASS J20582594+1050214', 'Gaia DR2 1756741374681702784', 'Musica'",,Del,31Del And,18 Del b,1.0,1.268,1,3086,And,30.861024,10.0,50.0,21.4289,10d50m21.4289s,0.5386264769195913,32.352,75.3,Flags(),31.0,,3627.0,3092.0,165.0,3086,7,44.87453899331323,3.27,6.44,3.44,,4.032,3.366,,5.522,2.3,-0.052000000000000005,10.0,31 Del And,Cold Jupiter,,,,,,,,,-83.05,-4.02637761e-07,115.38,5.59378024625e-07,18 Del,0.655462,314.0,36.0,29.0095,8.5,0.17159965555771547,314d36m29.0095s,-7.0,K3III...,G6III,18 Del,4979.0,,,,-2.56e-06,1.792e-05,-1.485e-05,27.363473,4.742224,16.595166
3238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,,"[""'18 Delphini'"", "" 'HD 199665'"", "" 'HIP 103527'"", "" 'TYC 1107-2709-1'"", "" 'SAO 106712'"", "" 'HR 8030'"", "" 'BD+10 4425'"", "" '2MASS J20582594+1050214'"", "" 'Gaia DR2 1756741374681702784'"", "" 'Musica'""]","'18 Delphini', 'HD 199665', 'HIP 103527', 'TYC 1107-2709-1', 'SAO 106712', 'HR 8030', 'BD+10 4425', '2MASS J20582594+1050214', 'Gaia DR2 1756741374681702784', 'Musica'",,Mu,Mu  Phe,18 Del b,1.0,0.953,1,3238,Phe,-46.085007,10.0,50.0,21.4289,10d50m21.4289s,-0.8043351028819574,75.358,75.3,Flags(),,,3919.0,3245.0,180.0,3238,7,72.17719496686993,4.59,6.44,3.44,,4.032,3.366,,5.522,2.3,-0.052000000000000005,10.0,Mu Phe,Cold Jupiter,,,,,,,,,1.04,5.042062e-09,-28.92,-1.4020811641666665e-07,18 Del,0.688766,314.0,36.0,29.0095,8.5,0.18031862717898134,314d36m29.0095s,19.0,G8III,G6III,18 Del,4979.0,,,,1.542e-05,-7.93e-06,-1.373e-05,51.420268,9.373821000000001,-54.285737
1643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5539999999999999,4.604,"[""'4 Ursae Majoris'"", "" 'pi.02 UMa'"", "" 'Pi-2 Ursae Majoris'"", "" 'π2 Ursae Majoris'"", "" 'HD 73108'"", "" 'HIP 42527'"", "" 'TYC 4130-2355-1'"", "" 'SAO 14616'"", "" 'BD+64 698'"", "" 'HR 3404'"", "" '2MASS J08401279+6419405'"", "" 'Gaia DR2 1092230803510960640'""]","'4 Ursae Majoris', 'pi.02 UMa', 'Pi-2 Ursae Majoris', 'π2 Ursae Majoris', 'HD 73108', 'HIP 42527', 'TYC 4130-2355-1', 'SAO 14616', 'BD+64 698', 'HR 3404', '2MASS J08401279+6419405', 'Gaia DR2 1092230803510960640'",,Pi,Pi  Tuc,4 UMa b,1.0,-0.046,1,1643,Tuc,-69.624913,64.0,19.0,40.57,64d19m40.57s,-1.2151839731495613,97.561,78.5,Flags(),,,1685.0,1647.0,83.0,1643,34,52.28775553134414,5.5,5.787000000000001,1.94,3.09,2.48,1.88,,5.787000000000001,1.234,-0.25,12.0,Pi Tuc,Warm Jupiter,,,,,,,,,-0.64,-3.1028070000000002e-09,-4.01,-1.9441028590277777e-08,4 UMa,0.34417800000000004,130.0,3.0,12.265,18.11,0.09010556789099984,130d03m12.265s,12.0,B9V,K1III,4 UMa,4415.0,,,,4.14e-06,-1.53e-06,-1.161e-05,33.829515,3.056494,-91.457047
1682,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc A'"", "" 'rho01 Cancri A'"", "" 'rho01 Cnc A'"", "" 'Rho¹ Cancri A'"", "" 'Rho¹ Cnc A'"", "" 'Rho-1 Cancri A'"", "" 'Rho-1 Cnc A'"", "" 'ρ1 Cancri A'"", "" 'ρ1 Cnc A'"", "" 'ρ¹ Cancri A'"", "" 'ρ¹ Cnc A'"", "" 'HD 75732'"", "" 'HIP 43587'"", "" 'TYC 1949-2012-1'"", "" 'Gaia DR2 704967037090946688'"", "" 'SAO 80478'"", "" 'HR 3522'"", "" 'Gliese 324 A'"", "" 'GJ 324 A'"", "" 'BD+28 1660 A'"", "" '2MASS J08523579+2819509'"", "" 'WDS J08526+2820 A'"", "" 'LDS 6219 A'""]","'55 Cnc A', 'rho01 Cancri A', 'rho01 Cnc A', 'Rho¹ Cancri A', 'Rho¹ Cnc A', 'Rho-1 Cancri A', 'Rho-1 Cnc A', 'ρ1 Cancri A', 'ρ1 Cnc A', 'ρ¹ Cancri A', 'ρ¹ Cnc A', 'HD 75732', 'HIP 43587', 'TYC 1949-2012-1', 'Gaia DR2 704967037090946688', 'SAO 80478', 'HR 3522', 'Gliese 324 A', 'GJ 324 A', 'BD+28 1660 A', '2MASS J08523579+2819509', 'WDS J08526+2820 A', 'LDS 6219 A'",,Rho,27Rho And,"55 Cancri b, 55 Cancri c, 55 Cancri d, 55 Cancri e, 55 Cancri f",5.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 A,1671.0,1686.0,82.0,1682,39,17.717400399431227,5.16,6.82,4.265,5.0,4.768,4.015,,5.95,0.905,0.35,23.0,27 Rho And,Cold Jupiter,Cold Jupiter,Cold Jupiter,Hot Super-Earth,Cold Jupiter,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri A,0.352017,,,,0.943,0.09215774000421187,,9.0,F5III,K0IV-V,55 Cancri,5172.0,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc A'"", "" 'rho01 Cancri A'"", "" 'rho01 Cnc A'"", "" 'Rho¹ Cancri A'"", "" 'Rho¹ Cnc A'"", "" 'Rho-1 Cancri A'"", "" 'Rho-1 Cnc A'"", "" 'ρ1 Cancri A'"", "" 'ρ1 Cnc A'"", "" 'ρ¹ Cancri A'"", "" 'ρ¹ Cnc A'"", "" 'HD 75732'"", "" 'HIP 43587'"", "" 'TYC 1949-2012-1'"", "" 'Gaia DR2 704967037090946688'"", "" 'SAO 80478'"", "" 'HR 3522'"", "" 'Gliese 324 A'"", "" 'GJ 324 A'"", "" 'BD+28 1660 A'"", "" '2MASS J08523579+2819509'"", "" 'WDS J08526+2820 A'"", "" 'LDS 6219 A'""]","'55 Cnc A', 'rho01 Cancri A', 'rho01 Cnc A', 'Rho¹ Cancri A', 'Rho¹ Cnc A', 'Rho-1 Cancri A', 'Rho-1 Cnc A', 'ρ1 Cancri A', 'ρ1 Cnc A', 'ρ¹ Cancri A', 'ρ¹ Cnc A', 'HD 75732', 'HIP 43587', 'TYC 1949-2012-1', 'Gaia DR2 704967037090946688', 'SAO 80478', 'HR 3522', 'Gliese 324 A', 'GJ 324 A', 'BD+28 1660 A', '2MASS J08523579+2819509', 'WDS J08526+2820 A', 'LDS 6219 A'",,Rho,27Rho And,"55 Cancri b, 55 Cancri c, 55 Cancri d, 55 Cancri e, 55 Cancri f",5.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 A,1671.0,1686.0,82.0,1682,39,17.717400399431227,5.16,6.82,4.265,5.0,4.768,4.015,,5.95,0.905,0.35,23.0,27 Rho And,Cold Jupiter,Cold Jupiter,Cold Jupiter,Hot Super-Earth,Cold Jupiter,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri A,0.352017,,,,0.943,0.09215774000421187,,9.0,F5III,K0IV-V,55 Cancri,5172.0,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc A'"", "" 'rho01 Cancri A'"", "" 'rho01 Cnc A'"", "" 'Rho¹ Cancri A'"", "" 'Rho¹ Cnc A'"", "" 'Rho-1 Cancri A'"", "" 'Rho-1 Cnc A'"", "" 'ρ1 Cancri A'"", "" 'ρ1 Cnc A'"", "" 'ρ¹ Cancri A'"", "" 'ρ¹ Cnc A'"", "" 'HD 75732'"", "" 'HIP 43587'"", "" 'TYC 1949-2012-1'"", "" 'Gaia DR2 704967037090946688'"", "" 'SAO 80478'"", "" 'HR 3522'"", "" 'Gliese 324 A'"", "" 'GJ 324 A'"", "" 'BD+28 1660 A'"", "" '2MASS J08523579+2819509'"", "" 'WDS J08526+2820 A'"", "" 'LDS 6219 A'""]","'55 Cnc A', 'rho01 Cancri A', 'rho01 Cnc A', 'Rho¹ Cancri A', 'Rho¹ Cnc A', 'Rho-1 Cancri A', 'Rho-1 Cnc A', 'ρ1 Cancri A', 'ρ1 Cnc A', 'ρ¹ Cancri A', 'ρ¹ Cnc A', 'HD 75732', 'HIP 43587', 'TYC 1949-2012-1', 'Gaia DR2 704967037090946688', 'SAO 80478', 'HR 3522', 'Gliese 324 A', 'GJ 324 A', 'BD+28 1660 A', '2MASS J08523579+2819509', 'WDS J08526+2820 A', 'LDS 6219 A'",,Rho,27Rho And,"55 Cancri b, 55 Cancri c, 55 Cancri d, 55 Cancri e, 55 Cancri f",5.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 A,1671.0,1686.0,82.0,1682,39,17.717400399431227,5.16,6.82,4.265,5.0,4.768,4.015,,5.95,0.905,0.35,23.0,27 Rho And,Cold Jupiter,Cold Jupiter,Cold Jupiter,Hot Super-Earth,Cold Jupiter,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri A,0.352017,,,,0.943,0.09215774000421187,,9.0,F5III,K0IV-V,55 Cancri,5172.0,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc A'"", "" 'rho01 Cancri A'"", "" 'rho01 Cnc A'"", "" 'Rho¹ Cancri A'"", "" 'Rho¹ Cnc A'"", "" 'Rho-1 Cancri A'"", "" 'Rho-1 Cnc A'"", "" 'ρ1 Cancri A'"", "" 'ρ1 Cnc A'"", "" 'ρ¹ Cancri A'"", "" 'ρ¹ Cnc A'"", "" 'HD 75732'"", "" 'HIP 43587'"", "" 'TYC 1949-2012-1'"", "" 'Gaia DR2 704967037090946688'"", "" 'SAO 80478'"", "" 'HR 3522'"", "" 'Gliese 324 A'"", "" 'GJ 324 A'"", "" 'BD+28 1660 A'"", "" '2MASS J08523579+2819509'"", "" 'WDS J08526+2820 A'"", "" 'LDS 6219 A'""]","'55 Cnc A', 'rho01 Cancri A', 'rho01 Cnc A', 'Rho¹ Cancri A', 'Rho¹ Cnc A', 'Rho-1 Cancri A', 'Rho-1 Cnc A', 'ρ1 Cancri A', 'ρ1 Cnc A', 'ρ¹ Cancri A', 'ρ¹ Cnc A', 'HD 75732', 'HIP 43587', 'TYC 1949-2012-1', 'Gaia DR2 704967037090946688', 'SAO 80478', 'HR 3522', 'Gliese 324 A', 'GJ 324 A', 'BD+28 1660 A', '2MASS J08523579+2819509', 'WDS J08526+2820 A', 'LDS 6219 A'",,Rho,27Rho And,"55 Cancri b, 55 Cancri c, 55 Cancri d, 55 Cancri e, 55 Cancri f",5.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 A,1671.0,1686.0,82.0,1682,39,17.717400399431227,5.16,6.82,4.265,5.0,4.768,4.015,,5.95,0.905,0.35,23.0,27 Rho And,Cold Jupiter,Cold Jupiter,Cold Jupiter,Hot Super-Earth,Cold Jupiter,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri A,0.352017,,,,0.943,0.09215774000421187,,9.0,F5III,K0IV-V,55 Cancri,5172.0,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc B'"", "" 'rho01 Cancri B'"", "" 'rho01 Cnc B'"", "" 'Rho¹ Cancri B'"", "" 'Rho¹ Cnc B'"", "" 'Rho-1 Cancri B'"", "" 'Rho-1 Cnc B'"", "" 'ρ1 Cancri B'"", "" 'ρ1 Cnc B'"", "" 'ρ¹ Cancri B'"", "" 'ρ¹ Cnc B'"", "" 'Gaia DR2 704966762213039488'"", "" 'Gliese 324 B'"", "" 'GJ 324 B'"", "" 'BD+28 1660 B'"", "" '2MASS J08524084+2818589'"", "" 'WDS J08526+2820 B'"", "" 'LDS 6219 B'""]","'55 Cnc B', 'rho01 Cancri B', 'rho01 Cnc B', 'Rho¹ Cancri B', 'Rho¹ Cnc B', 'Rho-1 Cancri B', 'Rho-1 Cnc B', 'ρ1 Cancri B', 'ρ1 Cnc B', 'ρ¹ Cancri B', 'ρ¹ Cnc B', 'Gaia DR2 704966762213039488', 'Gliese 324 B', 'GJ 324 B', 'BD+28 1660 B', '2MASS J08524084+2818589', 'WDS J08526+2820 B', 'LDS 6219 B'",,Rho,27Rho And,,0.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 B,1671.0,1686.0,82.0,1682,40,17.717400399431227,5.16,,7.933,,8.56,7.666,,13.0,0.2,,18.0,27 Rho And,,,,,,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri B,0.352017,,,,,0.09215774000421187,,9.0,F5III,M4,55 Cancri,,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc B'"", "" 'rho01 Cancri B'"", "" 'rho01 Cnc B'"", "" 'Rho¹ Cancri B'"", "" 'Rho¹ Cnc B'"", "" 'Rho-1 Cancri B'"", "" 'Rho-1 Cnc B'"", "" 'ρ1 Cancri B'"", "" 'ρ1 Cnc B'"", "" 'ρ¹ Cancri B'"", "" 'ρ¹ Cnc B'"", "" 'Gaia DR2 704966762213039488'"", "" 'Gliese 324 B'"", "" 'GJ 324 B'"", "" 'BD+28 1660 B'"", "" '2MASS J08524084+2818589'"", "" 'WDS J08526+2820 B'"", "" 'LDS 6219 B'""]","'55 Cnc B', 'rho01 Cancri B', 'rho01 Cnc B', 'Rho¹ Cancri B', 'Rho¹ Cnc B', 'Rho-1 Cancri B', 'Rho-1 Cnc B', 'ρ1 Cancri B', 'ρ1 Cnc B', 'ρ¹ Cancri B', 'ρ¹ Cnc B', 'Gaia DR2 704966762213039488', 'Gliese 324 B', 'GJ 324 B', 'BD+28 1660 B', '2MASS J08524084+2818589', 'WDS J08526+2820 B', 'LDS 6219 B'",,Rho,27Rho And,,0.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 B,1671.0,1686.0,82.0,1682,40,17.717400399431227,5.16,,7.933,,8.56,7.666,,13.0,0.2,,18.0,27 Rho And,,,,,,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri B,0.352017,,,,,0.09215774000421187,,9.0,F5III,M4,55 Cancri,,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc B'"", "" 'rho01 Cancri B'"", "" 'rho01 Cnc B'"", "" 'Rho¹ Cancri B'"", "" 'Rho¹ Cnc B'"", "" 'Rho-1 Cancri B'"", "" 'Rho-1 Cnc B'"", "" 'ρ1 Cancri B'"", "" 'ρ1 Cnc B'"", "" 'ρ¹ Cancri B'"", "" 'ρ¹ Cnc B'"", "" 'Gaia DR2 704966762213039488'"", "" 'Gliese 324 B'"", "" 'GJ 324 B'"", "" 'BD+28 1660 B'"", "" '2MASS J08524084+2818589'"", "" 'WDS J08526+2820 B'"", "" 'LDS 6219 B'""]","'55 Cnc B', 'rho01 Cancri B', 'rho01 Cnc B', 'Rho¹ Cancri B', 'Rho¹ Cnc B', 'Rho-1 Cancri B', 'Rho-1 Cnc B', 'ρ1 Cancri B', 'ρ1 Cnc B', 'ρ¹ Cancri B', 'ρ¹ Cnc B', 'Gaia DR2 704966762213039488', 'Gliese 324 B', 'GJ 324 B', 'BD+28 1660 B', '2MASS J08524084+2818589', 'WDS J08526+2820 B', 'LDS 6219 B'",,Rho,27Rho And,,0.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 B,1671.0,1686.0,82.0,1682,40,17.717400399431227,5.16,,7.933,,8.56,7.666,,13.0,0.2,,18.0,27 Rho And,,,,,,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri B,0.352017,,,,,0.09215774000421187,,9.0,F5III,M4,55 Cancri,,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,,"[""'55 Cnc B'"", "" 'rho01 Cancri B'"", "" 'rho01 Cnc B'"", "" 'Rho¹ Cancri B'"", "" 'Rho¹ Cnc B'"", "" 'Rho-1 Cancri B'"", "" 'Rho-1 Cnc B'"", "" 'ρ1 Cancri B'"", "" 'ρ1 Cnc B'"", "" 'ρ¹ Cancri B'"", "" 'ρ¹ Cnc B'"", "" 'Gaia DR2 704966762213039488'"", "" 'Gliese 324 B'"", "" 'GJ 324 B'"", "" 'BD+28 1660 B'"", "" '2MASS J08524084+2818589'"", "" 'WDS J08526+2820 B'"", "" 'LDS 6219 B'""]","'55 Cnc B', 'rho01 Cancri B', 'rho01 Cnc B', 'Rho¹ Cancri B', 'Rho¹ Cnc B', 'Rho-1 Cancri B', 'Rho-1 Cnc B', 'ρ1 Cancri B', 'ρ1 Cnc B', 'ρ¹ Cancri B', 'ρ¹ Cnc B', 'Gaia DR2 704966762213039488', 'Gliese 324 B', 'GJ 324 B', 'BD+28 1660 B', '2MASS J08524084+2818589', 'WDS J08526+2820 B', 'LDS 6219 B'",,Rho,27Rho And,,0.0,0.442,1,1682,And,37.968603,,,,,0.6626771359995399,48.5437,12.5901,Flags(),27.0,GJ 324 B,1671.0,1686.0,82.0,1682,40,17.717400399431227,5.16,,7.933,,8.56,7.666,,13.0,0.2,,18.0,27 Rho And,,,,,,,,,,-39.65,-1.9222862399999998e-07,58.32,2.827433385e-07,55 Cancri B,0.352017,,,,,0.09215774000421187,,9.0,F5III,M4,55 Cancri,,,,,1.168e-05,1.486e-05,-1.69e-06,38.106993,3.5218559999999997,29.865569
3793,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.606,,"[""'7 Canis Majoris'"", "" 'nu.02 CMa'"", "" 'Nu-2 Canis Majoris'"", "" 'ν2 CMa'"", "" 'ν2 Canis Majoris'"", "" 'HD 47205'"", "" 'HIP 31592'"", "" 'TYC 5956-2621-1'"", "" 'SAO 151702'"", "" 'HR 2429'"", "" 'BD-19 1502'"", "" 'CPD-19 1369'"", "" 'Gliese 239.1'"", "" 'GJ 9214'"", "" '2MASS J06364103-1915210'"", "" 'GJ 239.1'"", "" 'Gaia DR2 2939555954747554176'""]","'7 Canis Majoris', 'nu.02 CMa', 'Nu-2 Canis Majoris', 'ν2 CMa', 'ν2 Canis Majoris', 'HD 47205', 'HIP 31592', 'TYC 5956-2621-1', 'SAO 151702', 'HR 2429', 'BD-19 1502', 'CPD-19 1369', 'Gliese 239.1', 'GJ 9214', '2MASS J06364103-1915210', 'GJ 239.1', 'Gaia DR2 2939555954747554176'",,Nu,25Nu  Cas,"7 CMa b, 7 CMa c",2.0,-0.091,1,3793,Cas,50.968168,-19.0,15.0,21.1659,-19d15m21.1659s,0.8895623384238488,126.2626,19.75,Flags(),25.0,GJ 239.1,4636.0,3801.0,223.0,3793,45,152.19486509036517,4.9,,1.679,2.935,2.173,1.564,,3.92,1.34,0.21,17.0,25 Nu Cas,Cold Jupiter,Cold Jupiter,,,,,,,,-9.82,-4.760870300000001e-08,30.28,1.4680158247222226e-07,7 CMa,0.8138920000000001,99.0,10.0,15.5625,4.87,0.21307640951384665,99d10m15.5625s,9.0,B9III,K1III,7 CMa,4826.0,,,,6.31e-06,2.033e-05,3.36e-06,77.71595500000001,16.814743,98.08037
5121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,"[""'91 Aqr B'"", "" 'psi01 Aqr B'"", "" 'Psi-1 Aquarii B'"", "" 'ψ1 Aqr B'"", "" 'ψ1 Aquarii B'"", "" 'HD 219449 B'"", "" 'HIP 114855 B'"", "" 'Gliese 893.2 B'"", "" 'GJ 893.2 B'"", "" 'GJ 9815 B'"", "" 'BD-09 6156 B'"", "" 'WDS J23159-0905 B'""]","'91 Aqr B', 'psi01 Aqr B', 'Psi-1 Aquarii B', 'ψ1 Aqr B', 'ψ1 Aquarii B', 'HD 219449 B', 'HIP 114855 B', 'Gliese 893.2 B', 'GJ 893.2 B', 'GJ 9815 B', 'BD-09 6156 B', 'WDS J23159-0905 B'",,Psi-1,74Psi1Psc,,0.0,0.003,1,5121,Psc,21.473181,,,,,0.3747777155284588,84.317,45.93,Flags(),74.0,GJ 893.2 B,6456.0,5131.0,310.0,5121,50,45.7088189614875,5.33,10.9,,,,,,9.9,0.78,,12.0,74 Psi-1 Psc,,,,,,,,,,-14.32,-6.942531900000001e-08,44.3,2.147724604861111e-07,91 Aquarii B,1.094709,,,,,0.28659421825902925,,-3.0,A1Vn,K3V,91 Aquarii,,,,,-5.8e-06,1.717e-05,-6.57e-06,75.264054,22.180889999999998,30.865551
